	Word	Class0	Class1	Class2	MultiMean
379	矿物纤维	1	1	1	8
380	党政军	1	1	1	2
381	畅快	2	2	2	38
382	篮球场	1	1	1	9
383	晕船	1	1	1	2
384	数量	1	1	1	8
385	器皿	1	1	1	2
386	别开生面	1	1	1	19
387	糖弹	1	1	1	2
388	不俗	1	1	1	16
389	挽回	1	1	1	3
390	上无片瓦	1	1	1	6
391	月利	1	1	1	2
392	主坝	1	1	1	31
393	节度使	1	1	1	4
394	提案	1	1	1	8
395	洼陷	1	1	1	12
396	弦	1	2	2	5
397	老酒	1	1	1	5
398	羞明	1	1	1	216
399	深部	1	1	1	0
400	严寒	1	1	1	21
401	割草机	1	1	1	62
402	瓶口	1	1	1	4
403	独联体	1	1	1	13
404	趁	1	1	1	16
405	期期艾艾	1	1	1	4
406	投票箱	1	1	1	39
407	赤狐	1	1	1	3
408	扮演者	1	1	1	9
409	热热闹闹	1	1	1	13
410	挂一漏万	2	3	3	35
411	汉字	1	1	1	4
412	南塘镇	1	1	1	172
413	吊唁	1	1	1	3
414	产业资本	1	1	1	3
415	下药	1	2	2	6
416	斗烟丝	1	1	1	1
417	略胜一筹	1	1	1	14
418	形态学	1	1	1	5
419	偿还	1	2	2	19
420	语源学	1	1	1	176
421	淑女	1	1	1	32
422	复议	1	1	1	1
423	分工	1	1	1	4
424	文盲率	1	1	1	187
425	秋菊	1	1	1	3
426	割伤	1	1	1	19
427	查验	1	1	1	22
428	放水	1	1	1	5
429	归去来兮	1	1	1	0
430	毒草	1	1	1	64
431	心心相印	2	2	2	67
432	晚班	1	1	1	1
433	纸制	1	1	1	23
434	竞相	2	2	2	19
435	碳酸气	1	1	1	2
436	首规委	1	1	1	39
437	集团化	1	1	1	142
438	讲坛	1	1	1	1
439	枪弹	1	1	1	2
440	分销业	1	1	1	149
441	紫花苜蓿	1	1	1	1
442	天方夜谭	1	1	1	19
443	简约	1	1	1	27
444	丝绵	1	1	1	18
445	舆情	1	1	1	2
446	爆裂	1	2	2	9
447	符号论	1	1	1	4
448	待业率	1	1	1	187
449	血气方刚	1	1	1	14
450	由	3	4	4	39
451	地委经贸委	1	1	1	39
452	鼓吹	1	2	2	13
453	爹妈	1	1	1	17
454	逆水行舟	1	1	1	10
455	搅动	1	1	1	8
456	俳句	1	1	1	2
457	欧美	1	1	1	23
458	老家伙	1	1	1	1
459	类乎	1	1	1	16
460	遂心如意	1	1	1	24
461	调度室	1	1	1	52
462	拦网	1	1	1	1
463	套取	1	1	1	14
464	心脑病	1	1	1	216
465	猥贱	1	1	1	20
466	针线包	1	1	1	11
467	献计	1	1	1	6
468	缠绕茎	1	1	1	10
469	民主主义	1	1	1	28
470	听差	1	1	1	7
471	泡沫	1	1	1	7
472	底孔	1	1	1	10
473	撤消	1	1	1	12
474	男童	1	1	1	2
475	巨响	1	1	1	7
476	掉换	2	2	2	12
477	蝗情	1	1	1	22
478	繁荣党	1	1	1	71
479	银票	1	1	1	13
480	自收自支	1	1	1	3
481	学识	1	1	1	4
482	思新求变	1	1	1	21
483	水晶宫	1	1	1	1
484	猎枪	1	1	1	19
485	但书	1	1	1	3
486	懈	1	1	1	17
487	常抓不懈	1	1	1	0
488	游泳队	1	1	1	82
489	声控	1	1	1	13
490	风斗	1	1	1	1
491	溶液	1	1	1	10
492	抓耳挠腮	1	1	1	2
493	沉痼	1	2	2	11
494	得来	1	1	1	3
495	思恋	1	1	1	16
496	吕剧	1	1	1	0
497	预定金	1	1	1	24
498	避雷器	1	1	1	145
499	桨	1	1	1	2
500	风仪	1	1	1	19
501	小说书	1	1	1	2
502	下手	4	4	4	53
503	农户	1	1	1	3
504	义学	1	1	1	1
505	拉丁美州	1	1	1	10
506	工作站	1	1	1	36
507	数理经济学	1	1	1	176
508	避税	1	1	1	7
509	高档化	1	1	1	142
510	宜春	1	1	1	279
511	正当年	1	1	1	14
512	发言者	1	1	1	2
513	猴头	1	1	1	11
514	轮带	1	1	1	5
515	芬兰共和国	1	1	1	299
516	过客	1	1	1	1
517	有的是	1	1	1	44
518	结合能	1	1	1	22
519	喝彩	1	1	1	3
520	防风林	1	1	1	7
521	耗用	1	1	1	10
522	好生	1	1	1	50
523	喝道	1	1	1	3
524	要领	1	1	1	7
525	后备	1	1	1	0
526	冰炭不相容	1	1	1	7
527	局外人	1	1	1	9
528	土地庙	1	1	1	5
529	白饭	1	1	1	4
530	故园	1	1	1	20
531	羽绒服	1	1	1	24
532	撼	1	1	1	9
533	边防连	1	1	1	6
534	冒尖儿	2	2	2	46
535	天鹅绒	1	1	1	11
536	景点费	1	1	1	136
537	诔	1	1	1	6
538	罪大恶极	1	1	1	13
539	空话	1	1	1	6
540	稽查	1	1	1	22
541	远足	1	1	1	2
542	长于	1	1	1	10
543	蛇	2	2	2	14
544	呕	1	1	1	4
545	院庆	1	1	1	2
546	决心	1	1	1	18
547	跳鼠	1	1	1	10
548	小家电	1	1	1	2
549	全面	1	1	1	32
550	障蔽	1	1	1	14
551	配电盘	1	1	1	2
552	瘾	1	1	1	1
553	裣衽	1	1	1	3
554	文武全才	1	1	1	11
555	核蛋白	1	1	1	4
556	焙	1	1	1	5
557	锋芒	1	1	1	0
558	祭幛	1	1	1	21
559	手戳	1	1	1	14
560	全貌	1	1	1	0
561	人寿	1	1	1	3
562	邹城市	1	1	1	499
563	精心	1	1	1	24
564	谡	1	1	1	2
565	早安	1	1	1	1
566	堪忧	1	1	1	8
567	生水	1	1	1	2
568	正理	1	1	1	1
569	男女老幼	1	2	2	3
570	货柜车	1	1	1	101
571	院本	1	1	1	4
572	约旦	1	1	1	299
573	研究室	2	2	2	54
574	库贷	1	1	1	8
575	工头	1	1	1	8
576	摩托罗拉	1	1	1	5
577	部门	1	2	2	4
578	先世	1	1	1	7
579	承担者	1	1	1	10
580	感想	2	2	2	9
581	汤勺	1	1	1	8
582	出冷门	1	1	1	23
583	大悲大喜	1	1	1	7
584	啖	2	2	2	24
585	铺砌	1	1	1	10
586	弥天大罪	1	1	1	12
587	隔热	1	1	1	1
588	无关紧要	1	1	1	17
589	车轮战	1	1	1	33
590	违禁	1	1	1	3
591	水害	1	1	1	3
592	鲩	1	1	1	1
593	抗敌素	1	1	1	30
594	摒除	1	1	1	43
595	罐中	1	1	1	11
596	呼哧	1	1	1	2
597	离境	1	1	1	5
598	沿革	1	1	1	0
599	巢	1	1	1	5
600	夜工	1	1	1	2
601	包办代替	1	1	1	2
602	昏黄	1	2	2	33
603	介乎	1	1	1	8
604	间架	1	1	1	20
605	有机染料	1	1	1	4
606	所见所闻	1	1	1	10
607	轰动一时	1	1	1	0
608	艮	1	1	1	5
609	厚望	1	1	1	4
610	优势	1	1	1	10
611	食不果腹	1	1	1	9
612	培土	1	1	1	2
613	正三角形	1	1	1	0
614	信息性	1	1	1	2
615	舆论	1	1	1	3
616	自然存在物	1	1	1	1
617	刀光血影	1	1	1	23
618	高汤	1	1	1	8
619	颅	1	1	1	4
620	软水	1	1	1	42
621	社会青年	1	1	1	0
622	冷暖	1	1	1	3
623	分外	2	2	2	54
624	诸多不便	1	1	1	21
625	深受其害	1	1	1	2
626	均分	1	1	1	5
627	存续	1	1	1	19
628	半路	2	2	2	9
629	强权政治	1	1	1	3
630	门牌	1	1	1	32
631	残冬	1	1	1	0
632	借支	1	1	1	2
633	联谊	1	1	1	28
634	势利	1	1	1	5
635	春色	1	1	1	5
636	接线	1	1	1	1
637	探亲	1	1	1	1
638	追忆	1	1	1	18
639	担架	1	1	1	2
640	吉林省	1	1	1	52
641	土星	1	1	1	30
642	小雨雪	1	1	1	11
643	细菌战	1	1	1	33
644	馆长	1	1	1	24
645	算法	1	1	1	56
646	增值税	1	1	1	42
647	唱头	1	1	1	8
648	咨	1	1	1	4
649	全市	1	1	1	9
650	辱没门庭	1	1	1	20
651	玉米油	1	1	1	23
652	因果	1	1	1	3
653	气门心	1	1	1	31
654	灯壳	1	1	1	11
655	天公地道	1	1	1	17
