index	Char	Pinyin	Bujian
2523	薯	shǔ	5
2524	暑	shǔ	4
2525	曙	shǔ	5
2526	署	shǔ	4
2527	蜀	shǔ	4
2528	黍	shǔ	4
2529	鼠	shǔ	3
2530	属	shǔ	3
2531	术	shù	1
2532	述	shù	3
2533	树	shù	4
2534	束	shù	1
2535	戍	shù	1
2536	竖	shù	4
2537	墅	shù	4
2538	庶	shù	4
2539	数	shǔ	4
2540	漱	shù	4
2541	恕	shù	4
2542	刷	shuā	4
2543	耍	shuǎ	3
2544	摔	shuāi	4
2545	衰	shuāi	4
2546	甩	shuǎi	1
2547	帅	shuài	3
2548	栓	shuān	4
2549	拴	shuān	4
2550	霜	shuāng	4
2551	双	shuāng	3
2552	爽	shuǎng	7
2553	谁	shéi	3
2554	水	shǔi	1
2555	睡	shuì	3
2556	税	shuì	5
2557	吮	shǔn	4
2558	瞬	shùn	6
2559	顺	shùn	3
2560	舜	shùn	5
2561	说	shuō	5
2562	硕	shuò	3
2563	朔	shuò	4
2564	烁	shuò	3
2565	斯	sī	4
2566	撕	sī	5
2567	嘶	sī	5
2568	思	sī	3
2569	私	sī	3
2570	司	sī	4
2571	丝	sī	4
2572	死	sǐ	4
2573	肆	sì	3
2574	寺	sì	3
2575	嗣	sì	4
2576	四	sì	4
2577	伺	cì	3
2578	似	sì	3
2579	饲	sì	3
2580	巳	sì	1
2581	松	sōng	4
2582	耸	sǒng	4
2583	怂	sǒng	4
2584	颂	sòng	4
2585	送	sòng	5
2586	宋	sòng	3
2587	讼	sòng	4
2588	诵	sòng	4
2589	搜	sōu	4
2590	艘	sōu	4
2591	擞	sǒu	5
2592	嗽	sòu	4
2593	苏	sū	3
2594	酥	sū	3
2595	俗	sú	3
2596	素	sù	3
2597	速	sù	3
2598	粟	sù	3
2599	僳	sù	4
2600	塑	sù	5
2601	溯	sù	5
2602	宿	sù	4
2603	诉	sù	3
2604	肃	sù	4
2605	酸	suān	5
2606	蒜	suàn	4
2607	算	suàn	4
2608	虽	suī	3
2609	隋	suí	5
2610	随	suí	4
2611	绥	suí	4
2612	髓	suǐ	7
2613	碎	suì	6
2614	岁	suì	3
2615	穗	suì	4
2616	遂	suí	5
2617	隧	suì	6
2618	祟	suì	4
2619	孙	sūn	3
2620	损	sǔn	4
2621	笋	sǔn	3
2622	蓑	suō	5
2623	梭	suō	5
2624	唆	suō	5
2625	缩	sù	5
2626	琐	suǒ	4
2627	索	suǒ	4
2628	锁	suǒ	4
2629	所	suǒ	3
2630	塌	tā	4
2631	他	tā	3
2632	它	tā	3
2633	她	tā	3
2634	塔	tǎ	6
2635	獭	tǎ	5
2636	挞	tà	4
2637	蹋	tà	4
2638	踏	tà	4
2639	胎	tāi	4
2640	苔	tāi	4
2641	抬	tái	4
2642	台	tái	3
2643	泰	tài	3
2644	酞	tài	3
2645	太	tài	1
2646	态	tài	3
2647	汰	tài	3
2648	坍	tān	3
2649	摊	tān	4
2650	贪	tān	3
2651	瘫	tān	4
2652	滩	tān	4
2653	坛	tán	4
2654	檀	tán	8
2655	痰	tán	4
2656	潭	tán	5
2657	谭	tán	5
2658	谈	tán	4
2659	坦	tǎn	4
2660	毯	tǎn	4
2661	袒	tǎn	4
2662	碳	tàn	5
2663	探	tàn	5
2664	叹	tàn	3
2665	炭	tàn	4
2666	汤	tāng	3
2667	塘	táng	5
2668	搪	táng	5
2669	堂	táng	4
2670	棠	táng	4
2671	膛	táng	5
2672	唐	táng	4
2673	糖	táng	5
2674	倘	tǎng	5
2675	躺	tǎng	5
2676	淌	tǎng	5
2677	趟	tàng	5
2678	烫	tàng	4
2679	掏	tāo	4
2680	涛	tāo	4
2681	滔	tāo	4
2682	绦	tāo	4
2683	萄	táo	4
2684	桃	táo	4
2685	逃	táo	3
2686	淘	táo	4
2687	陶	táo	4
2688	讨	tǎo	3
2689	套	tào	3
2690	特	tè	4
2691	藤	téng	5
2692	腾	téng	4
2693	疼	téng	4
2694	誊	téng	3
2695	梯	tī	4
2696	剔	tī	4
2697	踢	tī	4
2698	锑	tī	4
2699	提	tí	3
2700	题	tí	3
2701	蹄	tí	4
2702	啼	tí	4
2703	体	tǐ	3
2704	替	tì	4
2705	嚏	tì	6
2706	惕	tì	4
2707	涕	tì	4
2708	剃	tì	4
2709	屉	tì	3
2710	天	tiān	1
2711	添	tiān	4
2712	填	tián	5
2713	田	tián	4
2714	甜	tián	3
2715	恬	tián	3
2716	舔	tiǎn	4
2717	腆	tiǎn	4
2718	挑	tiāo	3
2719	条	tiáo	3
2720	迢	tiáo	5
2721	眺	tiào	3
2722	跳	tiào	3
2723	贴	tiē	4
2724	铁	tiě	3
2725	帖	tiē	4
2726	厅	tīng	3
2727	听	tīng	3
2728	烃	tīng	4
2729	汀	tīng	3
2730	廷	tíng	3
2731	停	tíng	6
2732	亭	tíng	5
2733	庭	tíng	4
2734	挺	tǐng	4
2735	艇	tǐng	4
2736	通	tōng	5
2737	桐	tóng	5
2738	酮	tóng	5
2739	瞳	tóng	4
2740	同	tóng	4
2741	铜	tóng	5
2742	彤	tóng	3
2743	童	tóng	3
2744	桶	tǒng	6
2745	捅	tǒng	6
2746	筒	tǒng	5
2747	统	tǒng	4
2748	痛	tòng	4
2749	偷	tōu	5
2750	投	tóu	3
2751	头	tóu	1
2752	透	tòu	6
2753	凸	tū	1
2754	秃	tū	3
2755	突	tū	3
2756	图	tú	5
2757	徒	tú	3
2758	途	tú	5
2759	涂	tú	4
2760	屠	tú	4
2761	土	tǔ	1
2762	吐	tǔ	3
2763	兔	tù	1
2764	湍	tuān	4
2765	团	tuán	3
2766	推	tūi	3
2767	颓	tuí	4
2768	腿	tuǐ	4
2769	蜕	tuì	5
2770	褪	tuì	4
2771	退	tuì	3
2772	吞	tūn	3
2773	屯	tún	1
2774	臀	tún	6
2775	拖	tuō	4
2776	托	tuō	3
2777	脱	tuō	5
2778	鸵	tuó	4
2779	陀	tuó	4
2780	驮	tuó	3
2781	驼	tuó	4
2782	椭	tuǒ	3
2783	妥	tuǒ	3
2784	拓	tà	3
2785	唾	tuò	3
2786	挖	wā	4
2787	哇	wā	4
2788	蛙	wā	4
2789	洼	wā	4
2790	娃	wá	4
2791	瓦	wǎ	1
2792	袜	wà	3
2793	歪	wāi	3
2794	外	wài	3
2795	豌	wān	5
2796	弯	wān	3
2797	湾	wān	4
2798	玩	wán	4
2799	顽	wán	4
2800	丸	wán	1
2801	烷	wán	5
2802	完	wán	4
2803	碗	wǎn	5
2804	挽	wǎn	3
2805	晚	wǎn	3
2806	皖	wǎn	5
2807	惋	wǎn	5
2808	宛	wǎn	4
2809	婉	wǎn	5
2810	万	wàn	1
2811	腕	wàn	5
2812	汪	wāng	3
2813	王	wáng	1
2814	亡	wáng	1
2815	枉	wǎng	3
2816	网	wǎng	4
2817	往	wǎng	3
2818	旺	wàng	3
2819	望	wàng	4
2820	忘	wàng	3
2821	妄	wàng	3
2822	威	wēi	3
2823	巍	wēi	5
2824	微	wēi	6
2825	危	wēi	4
2826	韦	wéi	1
2827	违	wéi	3
2828	桅	wéi	5
2829	围	wéi	3
2830	唯	wéi	3
2831	惟	wéi	3
2832	为	wéi	1
2833	潍	wéi	4
2834	维	wéi	3
2835	苇	wěi	3
2836	萎	wēi	4
2837	委	wěi	3
2838	伟	wěi	3
2839	伪	wěi	3
2840	尾	wěi	3
2841	纬	wěi	3
2842	未	wèi	1
2843	蔚	wèi	5
2844	味	wèi	3
2845	畏	wèi	3
2846	胃	wèi	3
2847	喂	wèi	4
2848	魏	wèi	4
2849	位	wèi	3
2850	渭	wèi	4
2851	谓	wèi	4
2852	尉	wèi	4
2853	慰	wèi	5
2854	卫	wèi	1
2855	瘟	wēn	4
2856	温	wēn	4
2857	蚊	wén	3
2858	文	wén	3
2859	闻	wén	3
2860	纹	wén	3
2861	吻	wěn	3
2862	稳	wěn	5
2863	紊	wěn	3
2864	问	wèn	3
2865	嗡	wēng	5
2866	翁	wēng	4
2867	瓮	wèng	4
2868	挝	wō	4
2869	蜗	wō	4
2870	涡	wō	4
2871	窝	wō	4
2872	我	wǒ	3
2873	斡	wò	4
2874	卧	wò	3
2875	握	wò	4
2876	沃	wò	3
2877	巫	wū	4
2878	呜	wū	3
2879	钨	wū	3
2880	乌	wū	1
2881	污	wū	4
2882	诬	wū	5
2883	屋	wū	3
2884	无	wú	1
2885	芜	wú	3
2886	梧	wú	4
2887	吾	wú	3
2888	吴	wú	3
2889	毋	wú	1
2890	武	wǔ	3
2891	五	wǔ	1
2892	捂	wǔ	4
2893	午	wǔ	3
2894	舞	wǔ	4
2895	伍	wǔ	3
2896	侮	wǔ	4
2897	坞	wù	3
2898	戊	wù	1
2899	雾	wù	4
2900	晤	wù	4
2901	物	wù	3
2902	勿	wù	1
2903	务	wù	3
2904	悟	wù	4
2905	误	wù	4
