word	index	level
新郎	c#夫妻	2.0
新娘	c#夫妻	2.0
爱人	c#夫妻	2.0
配偶	c#夫妻	3.0
丈夫	c#夫妻	2.0
夫人	c#夫妻	2.0
老婆	c#夫妻	2.0
妻子	c#夫妻	2.0
太太	c#夫妻	2.0
孩子	d#子女	1.0
子女	d#子女	2.0
儿女	d#子女	2.0
骨肉	d#子女	3.0
儿子	d#子女	1.0
女儿	d#子女	1.0
双胞	d#子女	2.0
祖先	e#祖辈	2.0
祖宗	e#祖辈	2.0
先祖	e#祖辈	3.0
祖辈	e#祖辈	3.0
先人	e#祖辈	4.0
爷爷	e#祖辈	1.0
祖父	e#祖辈	1.0
奶奶	e#祖辈	1.0
祖母	e#祖辈	1.0
姥爷	e#祖辈	1.0
外公	e#祖辈	1.0
外祖	e#祖辈	1.0
姥姥	e#祖辈	1.0
外婆	e#祖辈	1.0
外祖母	e#祖辈	1.0
伯伯	f#父辈	1.0
姑姑	f#父辈	1.0
叔叔	f#父辈	1.0
姨	f#父辈	1.0
舅舅	f#父辈	1.0
弟弟	g#同辈	1.0
哥哥	g#同辈	1.0
兄弟	g#同辈	1.0
弟兄	g#同辈	2.0
姐弟	g#同辈	1.0
兄妹	g#同辈	1.0
姐姐	g#同辈	1.0
姐妹	g#同辈	1.0
妹妹	g#同辈	1.0
姊妹	g#同辈	2.0
侄女	h#晚辈	2.0
侄子	h#晚辈	2.0
外甥	h#晚辈	2.0
外甥	h#晚辈	2.0
孙女	h#晚辈	1.0
孙子	h#晚辈	1.0
公公	i#姻亲	2.0
婆婆	i#姻亲	2.0
岳父	i#姻亲	2.0
岳母	i#姻亲	2.0
女婿	i#姻亲	3.0
媳妇	i#姻亲	3.0
巨人	a#高个儿	2.0
胖子	b#胖子	2.0
淑女	c#美女	3.0
小家碧玉	c#美女	3.0
金枝玉叶	c#美女	4.0
病人	a#病伤	1.0
患者	a#病伤	3.0
伤员	a#病伤	2.0
残疾人	b#残障	2.0
残废	b#残障	3.0
疯子	b#残障	2.0
聋子	b#残障	2.0
盲人	b#残障	2.0
瞎子	b#残障	2.0
哑巴	b#残障	2.0
智障	b#残障	3.0
跛子	b#残障	4.0
瘸子	b#残障	4.0
孕妇	c#孕妇	3.0
救星	a#好人	2.0
福星	a#好人	3.0
活菩萨	a#好人	4.0
坏人	b#坏人	1.0
坏蛋	b#坏人	2.0
混蛋	b#坏人	2.0
畜生	b#坏人	3.0
害群之马	b#坏人	3.0
禽兽	b#坏人	4.0
衣冠禽兽	b#坏人	4.0
小人	b#坏人	2.0
小丑	b#坏人	3.0
骗子	b#坏人	2.0
歹徒	b#坏人	3.0
黑客	b#坏人	3.0
流氓	b#坏人	3.0
土匪	b#坏人	3.0
无赖	b#坏人	3.0
匪徒	b#坏人	4.0
豪强	b#坏人	4.0
恶魔	b#坏人	3.0
阎王	b#坏人	4.0
牛鬼蛇神	b#坏人	4.0
凶神恶煞	b#坏人	4.0
犯人	b#坏人	2.0
杀手	b#坏人	2.0
凶手	b#坏人	2.0
罪犯	b#坏人	2.0
罪人	b#坏人	2.0
囚犯	b#坏人	3.0
刽子手	b#坏人	4.0
罪魁祸首	b#坏人	4.0
贼	b#坏人	2.0
小偷儿	b#坏人	2.0
盗贼	b#坏人	3.0
海盗	b#坏人	3.0
强盗	b#坏人	3.0
江洋大盗	b#坏人	4.0
梁上君子	b#坏人	4.0
叛徒	b#坏人	3.0
特务	b#坏人	3.0
英雄 	a#英雄	1.0
好汉 	a#英雄	2.0
豪杰 	a#英雄	4.0
烈士 	a#英雄	2.0
勇士 	a#英雄	3.0
壮士 	a#英雄	3.0
侠客 	a#英雄	4.0
君子 	a#英雄	2.0
正人君子 	a#英雄	3.0
绅士 	a#英雄	4.0
圣人 	a#英雄	3.0
圣贤 	a#英雄	4.0
常人 	b#常人	2.0
网民 	b#常人	2.0
粉丝 	b#常人	2.0
球迷 	b#常人	2.0
人才 	a#天才大师	2.0
天才 	a#天才大师	2.0
千里马 	a#天才大师	3.0
大师 	a#天才大师	3.0
高手 	a#天才大师	3.0
能人 	a#天才大师	3.0
能手 	a#天才大师	3.0
强者 	a#天才大师	3.0
权威 	a#天才大师	3.0
能工巧匠 	a#天才大师	3.0
宗师 	a#天才大师	4.0
泰斗 	a#天才大师	4.0
状元 	a#天才大师	3.0
后起之秀 	a#天才大师	3.0
榜样 	a#天才大师	2.0
模范 	a#天才大师	2.0
标兵	a#天才大师	3.0
表率 	a#天才大师	4.0
劳模 	a#天才大师	2.0
先进 	a#天才大师	2.0
先锋 	a#天才大师	3.0
冠军 	a#天才大师	2.0
季军 	a#天才大师	2.0
亚军 	a#天才大师	2.0
行家 	a#天才大师	3.0
内行 	a#天才大师	3.0
伯乐 	a#天才大师	3.0
主角 	a#天才大师	2.0
栋梁 	a#天才大师	3.0
骨干 	a#天才大师	3.0
精英 	a#天才大师	3.0
支柱 	a#天才大师	3.0
台柱子 	a#天才大师	3.0
脊梁 	a#天才大师	4.0
中流砥柱 	a#天才大师	4.0
科学家 	a#天才大师	2.0
先生 	a#天才大师	2.0
文人 	a#天才大师	3.0
专家 	a#天才大师	3.0
学者 	a#天才大师	3.0
井底之蛙 	b#外行文盲	2.0
笨蛋 	b#外行文盲	1.0
傻瓜 	b#外行文盲	2.0
傻子 	b#外行文盲	2.0
白痴 	b#外行文盲	4.0
废物 	b#外行文盲	3.0
行尸走肉 	b#外行文盲	3.0
酒囊饭袋	b#外行文盲	4.0
文盲 	b#外行文盲	2.0
外行 	b#外行文盲	3.0
新人 	b#外行文盲	2.0
领导 	a#领导	2.0
领袖 	a#领导	2.0
首领 	a#领导	2.0
首脑  	a#领导	3.0
元首 	a#领导	3.0
首长 	a#领导	3.0
大王 	a#领导	1.0
主席 	a#领导	2.0
总理 	a#领导	2.0
总统 	a#领导	2.0
首相 	a#领导	3.0
干部 	a#领导	1.0
公仆 	a#领导	4.0
议员 	a#领导	4.0
大使 	a#领导	3.0
经理 	a#领导	3.0
主任 	a#领导	2.0
书记 	a#领导	3.0
主管 	a#领导	4.0
班长 	a#领导	1.0
船长  	a#领导	1.0
队长  	a#领导	1.0
校长 	a#领导	1.0
指挥  	a#领导	2.0
领队 	a#领导	3.0
总监 	a#领导	4.0
员工  	b#职员	2.0
职工  	b#职员	2.0
职员 	b#职员	2.0
白领 	b#职员	4.0
秘书  	b#职员	2.0
文书 	b#职员	4.0
随从 	b#职员	3.0
设计师 	c#技术人员	2.0
会计 	c#技术人员	3.0
工程师 	c#技术人员	3.0
司机	d#驾驶人员	1.0
飞行员 	d#驾驶人员	2.0
航天员  	d#驾驶人员	3.0
宇航员 	d#驾驶人员	3.0
船员  	d#驾驶人员	2.0
水手 	d#驾驶人员	2.0
船夫  	d#驾驶人员	2.0
艄公	d#驾驶人员	4.0
法官 	e#法官律师	2.0
律师	e#法官律师	2.0
警察  	f#警察侦探	2.0
警官 	f#警察侦探	3.0
民警  	f#警察侦探	2.0
便衣 	f#警察侦探	3.0
侦探 	f#警察侦探	3.0
看守 	f#警察侦探	3.0
老师  	g#教职人员	1.0
家教  	g#教职人员	2.0
教师  	g#教职人员	2.0
先生 	g#教职人员	2.0
教练 	g#教职人员	2.0
导师 	g#教职人员	3.0
教授 	g#教职人员	3.0
辅导员 	g#教职人员	2.0
大夫  	h#医护人员	1.0
医生  	h#医护人员	1.0
中医  	h#医护人员	2.0
郎中 	h#医护人员	3.0
护士  	h#医护人员	1.0
看护 	h#医护人员	2.0
选手  	i#运动员裁判	2.0
运动员  	i#运动员裁判	2.0
种子选手 	i#运动员裁判	3.0
骑手 	i#运动员裁判	2.0
裁判 	i#运动员裁判	2.0
编辑 	j#编辑记者	3.0
记者 	j#编辑记者	2.0
翻译 	k#作者	2.0
作者 	k#作者	2.0
作家  	k#作者	3.0
文豪 	k#作者	4.0
诗人 	k#作者	2.0
画家	k#作者	1.0
歌手  	l#演职人员	2.0
演员  	l#演职人员	2.0
艺人 	l#演职人员	3.0
模特儿 	l#演职人员	3.0
明星  	l#演职人员	2.0
偶像 	l#演职人员	2.0
角色  	l#演职人员	2.0
主角  	l#演职人员	2.0
主人公 	l#演职人员	2.0
小丑  	l#演职人员	2.0
魔术师 	l#演职人员	2.0
编剧  	l#演职人员	3.0
导演 	l#演职人员	3.0
农民  	m#农牧民渔猎者	1.0
农夫 	m#农牧民渔猎者	2.0
牧民 	m#农牧民渔猎者	2.0
渔民 	m#农牧民渔猎者	2.0
猎人 	m#农牧民渔猎者	1.0
牧童 	m#农牧民渔猎者	3.0
工人  	n#工匠	1.0
蓝领 	n#工匠	4.0
师傅  	n#工匠	2.0
手艺人  	n#工匠	2.0
工匠  	n#工匠	3.0
巧手 	n#工匠	3.0
园丁  	n#工匠	1.0
裁缝  	n#工匠	3.0
木匠  	n#工匠	3.0
石匠 	n#工匠	3.0
苦力  	n#工匠	3.0
纤夫 	n#工匠	4.0
民工  	n#工匠	2.0
帮工 	n#工匠	3.0
学徒 	n#工匠	3.0
商人  	o#商企人员	2.0
商贩  	o#商企人员	3.0
小贩 	o#商企人员	3.0
老板  	o#商企人员	2.0
掌柜  	o#商企人员	3.0
股东  	o#商企人员	4.0
雇主	o#商企人员	4.0
服务员  	p#服务人员	1.0
伙计  	p#服务人员	2.0
售货员  	p#服务人员	2.0
服务生 	p#服务人员	3.0
导游  	p#服务人员	2.0
向导 	p#服务人员	3.0
厨师  	p#服务人员	2.0
保安  	p#服务人员	2.0
清洁工 	p#服务人员	2.0
保姆  	p#服务人员	2.0
管家  	p#服务人员	3.0
用人 	p#服务人员	3.0
军阀 	q#军人	4.0
军官  	q#军人	2.0
官兵	q#军人	3.0
将  	q#军人	2.0
将领 	q#军人	3.0
将军  	q#军人	2.0
元帅  	q#军人	3.0
司令 	q#军人	3.0
军人 	q#军人	1.0
兵  	q#军人	2.0
士兵  	q#军人	2.0
战士 	q#军人	2.0
哨兵 	q#军人	3.0
卫土  	q#军人	2.0
警卫 	q#军人	3.0
学生 	r#学生	1.0
学员 	r#学生	2.0
新生 	r#学生	2.0
小学生 	r#学生	1.0
留学生 	r#学生	3.0
研究生 	r#学生	4.0
考生 	r#学生	2.0
毕业生  	r#学生	3.0
居民 	a#本地人	2.0
市民 	a#本地人	2.0
同胞 .	a#本地人	3.0
侨胞 	a#本地人	4.0
老乡  	a#本地人	2.0
乡亲 	a#本地人	3.0
邻居  	a#本地人	1.0
街坊  	a#本地人	3.0
近邻  	a#本地人	3.0
左邻右舍	a#本地人	3.0
移民 	b#外地人	3.0
外国人	b#外地人	2.0
朋友	a#朋友恩人	1.0
友人	a#朋友恩人	2.0
知己	a#朋友恩人	3.0
知音	a#朋友恩人	3.0
挚友	a#朋友恩人	4.0
熟人	a#朋友恩人	2.0
故人	a#朋友恩人	3.0
难兄难弟	a#朋友恩人	2.0
良师益友	a#朋友恩人	2.0
亲朋好友	a#朋友恩人	2.0
狐朋狗友	a#朋友恩人	2.0
战友	a#朋友恩人	2.0
盟友	a#朋友恩人	4.0
伴	a#朋友恩人	1.0
伙伴	a#朋友恩人	1.0
同伴	a#朋友恩人	1.0
伙计	a#朋友恩人	2.0
游伴  	a#朋友恩人	3.0
伴侣  	a#朋友恩人	3.0
搭档 	a#朋友恩人	4.0
恩人 	a#朋友恩人	2.0
路人  	b#外人仇敌	2.0
生人  	b#外人仇敌	2.0
外人  	b#外人仇敌	2.0
行人 	b#外人仇敌	2.0
敌人  	b#外人仇敌	1.0
仇人  	b#外人仇敌	2.0
对手  	b#外人仇敌	2.0
天敌  	b#外人仇敌	3.0
仇敌  	b#外人仇敌	3.0
对头 	b#外人仇敌	3.0
师父  	c#师生	2.0
师傅 	c#师生	2.0
徒弟 	c#师生	2.0
弟子  	c#师生	2.0
门下  	c#师生	3.0
门生 	c#师生	4.0
同学	c#师生	1.0
同事  	d#同事成员	3.0
同行 	d#同事成员	4.0
成员  	d#同事成员	1.0
队伍  	d#同事成员	2.0
分子  	d#同事成员	2.0
人马 	d#同事成员	3.0
队员  	d#同事成员	1.0
少先队员  	d#同事成员	1.0
团员  	d#同事成员	2.0
委员 	d#同事成员	2.0
上级  	d#同事成员	3.0
上面  	d#同事成员	3.0
高层 	d#同事成员	4.0
下级 .	d#同事成员	3.0
手下 	d#同事成员	3.0
帮手  	d#同事成员	2.0
助手  	d#同事成员	2.0
助理  	d#同事成员	3.0
下手  	d#同事成员	3.0
副手 	d#同事成员	4.0
参谋 	d#同事成员	3.0
后台 	d#同事成员	4.0
代表  	d#同事成员	1.0
代理人 	d#同事成员	4.0
发言人  	d#同事成员	3.0
代言人 	d#同事成员	4.0
主人  	e#主人客人	1.0
东道主 	e#主人客人	4.0
客人  	e#主人客人	1.0
宾客 	e#主人客人	2.0
嘉宾  	e#主人客人	3.0
贵宾  	e#主人客人	3.0
贵客 	e#主人客人	3.0
不速之客 	e#主人客人	4.0
主  	e#主人客人	1.0
主人 	e#主人客人	1.0
顾客  	e#主人客人	2.0
客户  	e#主人客人	3.0
用户  	e#主人客人	3.0
主顾 	e#主人客人	4.0
游客  	e#主人客人	2.0
游人 	e#主人客人	2.0
读者  	e#主人客人	2.0
观众  	e#主人客人	2.0
听众 	e#主人客人	2.0
主持人 	e#主人客人	2.0
客人  	e#主人客人	2.0
乘客  	e#主人客人	2.0
旅客 	e#主人客人	2.0
证人 	f#关系人	3.0
中介  	f#关系人	4.0
媒介 	f#关系人	4.0
被告  	f#关系人	4.0
原告  	f#关系人	4.0
当事人  	f#关系人	4.0
嫌疑人 	f#关系人	4.0
选民  	f#关系人	3.0
人选 	f#关系人	3.0
发起人 	f#关系人	3.0
纳税人 	f#关系人	4.0
志愿者  	f#关系人	3.0
义工 	f#关系人	4.0
恋人  	g#恋人	3.0
牛郎织女  	g#恋人	3.0
情侣  	g#恋人	4.0
情人 	g#恋人	4.0
名人 	h#名人伟人富人	2.0
伟人  	h#名人伟人富人	2.0
名流  	h#名人伟人富人	3.0
巨头 	h#名人伟人富人	4.0
财主  	h#名人伟人富人	2.0
富翁  	h#名人伟人富人	2.0
大款  	h#名人伟人富人	3.0
富豪 	h#名人伟人富人	3.0
绅士  	h#名人伟人富人	4.0
乡绅 	h#名人伟人富人	4.0
过街老鼠  	i#失意者孤独者	2.0
丧家之犬 	i#失意者孤独者	3.0
穷人  	i#失意者孤独者	1.0
乞丐  	i#失意者孤独者	3.0
难民 	i#失意者孤独者	4.0
奴隶  	i#失意者孤独者	2.0
俘虏  	i#失意者孤独者	3.0
人质 	i#失意者孤独者	3.0
孤儿  	i#失意者孤独者	2.0
单身汉  	i#失意者孤独者	3.0
单身  	i#失意者孤独者	4.0
寡妇 	i#失意者孤独者	4.0
王  	j#君主贵族官员	1.0
皇帝  	j#君主贵族官员	2.0
君主  	j#君主贵族官员	3.0
陛下 	j#君主贵族官员	4.0
公主  	j#君主贵族官员	1.0
皇后 	j#君主贵族官员	2.0
贵族  	j#君主贵族官员	3.0
权贵  	j#君主贵族官员	4.0
显贵 	j#君主贵族官员	4.0
官  	j#君主贵族官员	2.0
官员  	j#君主贵族官员	2.0
贪官污吏  	j#君主贵族官员	3.0
官吏  	j#君主贵族官员	4.0
官僚 	j#君主贵族官员	4.0
大臣  	j#君主贵族官员	2.0
功臣  	j#君主贵族官员	3.0
钦差大臣 	j#君主贵族官员	4.0
青天 	j#君主贵族官员	4.0
门下  	j#君主贵族官员	3.0
左右 	j#君主贵族官员	3.0
使者	j#君主贵族官员	3.0
信使	j#君主贵族官员	3.0
使节	j#君主贵族官员	4.0
信徒  	k#信仰者	3.0
善男信女 	k#信仰者	4.0
和尚  	k#信仰者	2.0
尼姑  	k#信仰者	2.0
果树	a#植物统称	1.0
植物	a#植物统称	1.0
草木	a#植物统称	2.0
花木	a#植物统称	2.0
植被	a#植物统称	3.0
木	a#林木统称	1.0
树	a#林木统称	1.0
树木	a#林木统称	1.0
灌木	a#林木统称	3.0
松树	b#树木	1.0
柏树	b#树木	2.0
柳树	b#树木	1.0
垂柳	b#树木	2.0
杨柳	b#树木	2.0
梧桐	b#树木	2.0
竹子	c#竹子	1.0
翠竹	c#竹子	2.0
森林	d#树木	1.0
树林	d#树木	1.0
山林	d#树木	1.0
丛林	d#树木	2.0
花丛	d#树木	1.0
树丛	d#树木	2.0
竹林	d#树木	2.0
草	a#花草统称	1.0
花	a#花草统称	1.0
花草	a#花草统称	1.0
鲜花	a#花草统称	2.0
花卉	a#花草统称	3.0
荷花	b#花卉	1.0
菊花	b#花卉	1.0
梅花	b#花卉	1.0
桃花	b#花卉	1.0
桂花	b#花卉	2.0
兰花	b#花卉	2.0
莲花	b#花卉	2.0
玫瑰	b#花卉	2.0
牡丹	b#花卉	2.0
杜鹃	b#花卉	3.0
青草	c#草	1.0
野草	c#草	2.0
杂草	c#草	2.0
荒草	c#草	3.0
牧草	c#草	3.0
水草	c#草	3.0
薄荷	c#草	3.0
芦苇	c#草	3.0
海藻	a#藻	3.0
水藻	a#藻	3.0
青苔	b#苔藓	3.0
苔藓	b#苔藓	4.0
作物	a#粮食作物	3.0
农作物	a#粮食作物	3.0
庄稼	a#粮食作物	2.0
五谷	a#粮食作物	3.0
稻子	a#粮食作物	2.0
稻谷	a#粮食作物	2.0
水稻	a#粮食作物	2.0
麦子	a#粮食作物	1.0
小麦	a#粮食作物	1.0
玉米	a#粮食作物	1.0
谷子	a#粮食作物	2.0
粟	a#粮食作物	4.0
高梁	a#粮食作物	2.0
菜	a#蔬菜	1.0
蔬菜	a#蔬菜	2.0
野菜	a#蔬菜	2.0
葱	a#蔬菜	2.0
蒜	a#蔬菜	2.0
生姜	a#蔬菜	2.0
萝卜	a#蔬菜	2.0
竹笋	a#蔬菜	2.0
西红柿	a#蔬菜	1.0
番茄	a#蔬菜	2.0
南瓜	a#蔬菜	1.0
黄瓜	a#蔬菜	1.0
葫芦	a#蔬菜	2.0
冬瓜	a#蔬菜	1.0
茄子	a#蔬菜	2.0
辣椒	a#蔬菜	2.0
瓜	a#瓜果	1.0
水果	a#瓜果	1.0
梨	a#瓜果	1.0
桃	a#瓜果	1.0
苹果	a#瓜果	1.0
葡萄	a#瓜果	1.0
西瓜	a#瓜果	1.0
枣	a#瓜果	2.0
橘子	a#瓜果	2.0
香蕉	a#瓜果	2.0
柑橘	a#瓜果	3.0
橄榄	a#瓜果	3.0
草莓	a#瓜果	3.0
棉	a#纤维作物	1.0
棉花	a#纤维作物	1.0
麻	a#纤维作物	2.0
花生	a#瓜果	1.0
油菜	a#瓜果	2.0
芝麻	a#瓜果	2.0
向日葵	a#瓜果	2.0
生物	a#动物统称	3.0
动物	a#动物统称	1.0
宠物	a#动物统称	3.0
猛兽	a#禽兽统称	2.0
野兽	a#禽兽统称	2.0
禽兽	a#禽兽统称	4.0
獅子	b#狮虎豹	1.0
虎	b#狮虎豹	1.0
老虎	b#狮虎豹	1.0
豹	b#狮虎豹	2.0
熊	c#熊	2.0
熊猫	c#熊	2.0
狼	d#狼狐	1.0
狐狸	d#狼狐	2.0
鹿	e#鹿	2.0
猴	f#猿猴	1.0
猴子	f#猿猴	1.0
猿	f#猿猴	3.0
鼠	g#鼠蛇	1.0
老鼠	g#鼠蛇	1.0
松鼠	g#鼠蛇	2.0
蛇	g#鼠蛇	2.0
象	h#其他兽类	1.0
大象	h#其他兽类	1.0
恐龙	h#其他兽类	2.0
骆驼	h#其他兽类	2.0
刺猬	h#其他兽类	2.0
蝙蝠	h#其他兽类	2.0
斑马	h#其他兽类	2.0
畜牲	a#家畜统称	2.0
牲口	a#家畜统称	2.0
家畜	a#家畜统称	3.0
牲畜	a#家畜统称	3.0
马	b#马牛羊驴骡	1.0
高头大马	b#马牛羊驴骡	2.0
骏马	b#马牛羊驴骡	3.0
牛	b#马牛羊驴骡	1.0
奶牛	b#马牛羊驴骡	1.0
羊	b#马牛羊驴骡	1.0
绵羊	b#马牛羊驴骡	2.0
驴	b#马牛羊驴骡	2.0
骡	b#马牛羊驴骡	4.0
猪	c#猪狗兔猫	1.0
狗	c#猪狗兔猫	1.0
猎狗	c#猪狗兔猫	2.0
兔	c#猪狗兔猫	1.0
兔子	c#猪狗兔猫	1.0
猫	c#猪狗兔猫	1.0
鸟	a#禽类统称	1.0
候鸟	a#禽类统称	3.0
家禽	a#禽类统称	3.0
鸽子	b#飞禽	1.0
燕	b#飞禽	2.0
鹰	b#飞禽	2.0
大雁	b#飞禽	2.0
海鸥	b#飞禽	2.0
麻雀	b#飞禽	2.0
乌鸦	b#飞禽	2.0
喜鹊	b#飞禽	2.0
猫头鹰	b#飞禽	2.0
云雀	b#飞禽	3.0
杜鹃	b#飞禽	3.0
鹦鹉	b#飞禽	3.0
天鹅	c#水禽	2.0
白鹭	c#水禽	4.0
鸡	d#家禽	1.0
鸭	d#家禽	1.0
鹅	d#家禽	1.0
鱼	a#鱼	1.0
金鱼	a#鱼	1.0
泥鳅	a#鱼	3.0
龟	b#龟鳖	1.0
乌龟	b#龟鳖	1.0
甲鱼	b#龟鳖	2.0
鳖	b#龟鳖	4.0
虾	c#虾蟹	2.0
螃蟹	c#虾蟹	2.0
海参	d#软体动物	2.0
牡蛎	d#软体动物	4.0
鲸	e#鲸海豚	2.0
海豚	e#鲸海豚	2.0
青蛙	f#蛙蟾蜍	1.0
蝌蚪	f#蛙蟾蜍	2.0
蟾蜍	f#蛙蟾蜍	4.0
虫	a#虫类统称	1.0
昆虫	a#虫类统称	1.0
害虫	a#虫类统称	2.0
甲虫	a#虫类统称	2.0
益虫	a#虫类统称	2.0
蝉	b#知了蟋蟀萤火虫	2.0
知了	b#知了蟋蟀萤火虫	2.0
螺蟀	b#知了蟋蟀萤火虫	3.0
萤火虫	b#知了蟋蟀萤火虫	2.0
蚯蚓	c#蚯蚓蜈蚣	2.0
蜈蚣	c#蚯蚓蜈蚣	3.0
蜜蜂	d#蜂蚕蝶蜻蜓蛾蜘蛛	1.0
蚕	d#蜂蚕蝶蜻蜓蛾蜘蛛	2.0
春蚕	d#蜂蚕蝶蜻蜓蛾蜘蛛	3.0
蝴蝶	d#蜂蚕蝶蜻蜓蛾蜘蛛	1.0
蜻蜓	d#蜂蚕蝶蜻蜓蛾蜘蛛	2.0
蛾子	d#蜂蚕蝶蜻蜓蛾蜘蛛	2.0
蜘蛛	d#蜂蚕蝶蜻蜓蛾蜘蛛	2.0
蚊子	e#蚊蝇蚁	2.0
苍蝇	e#蚊蝇蚁	2.0
蚂蚁	e#蚊蝇蚁	2.0
蝗虫	f#蝗虫	2.0
蚂蚱	f#蝗虫	2.0
身体	a#身体	1.0
身子	a#身体	1.0
人体	a#身体	2.0
形体	a#身体	2.0
躯壳	a#身体	3.0
躯体	a#身体	3.0
身躯	a#身体	3.0
血肉之躯	a#身体	4.0
全身	a#身体	1.0
身上	a#身体	1.0
一身	a#身体	1.0
浑身	a#身体	2.0
尸体	a#身体	2.0
尸首	a#身体	3.0
遗体	a#身体	3.0
头	b#头	1.0
脑袋	b#头	2.0
头颅	b#头	3.0
头顶	b#头	1.0
额头	b#头	2.0
脑门儿	b#头	2.0
额角	b#头	3.0
大脑	b#头	2.0
脑子	b#头	2.0
脑髓	b#头	3.0
脸	c#脸	1.0
眉头	c#脸	2.0
面孔	c#脸	2.0
脸颊	c#脸	3.0
脸庞	c#脸	4.0
面颊	c#脸	4.0
五官	d#五官	2.0
眼睛	d#五官	1.0
眼眶	d#五官	2.0
眼皮	d#五官	2.0
眼圈	d#五官	2.0
眼珠	d#五官	2.0
角膜	d#五官	3.0
眸子	d#五官	4.0
眼睑	d#五官	4.0
眼帘	d#五官	4.0
耳朵	d#五官	1.0
鼻孔	d#五官	1.0
鼻子	d#五官	1.0
口	d#五官	1.0
嘴	d#五官	1.0
舌头	d#五官	1.0
嘴巴	d#五官	1.0
口腔	d#五官	2.0
嘴唇	d#五官	2.0
嘴角	d#五官	2.0
咽	d#五官	2.0
