Word	index	level	score
保健	d#疗养	3.0	1
保养	d#疗养	3.0	1
休养	d#疗养	3.0	1
调养	d#疗养	4.0	1
补	d#疗养	2.0	1
滋补	d#疗养	4.0	1
滋养	d#疗养	4.0	1
化妆	e#打扮	2.0	1
打扮	e#打扮	2.0	1
装扮	e#打扮	3.0	1
乔装	e#打扮	4.0	1
梳	e#打扮	2.0	1
梳洗	e#打扮	3.0	1
修饰	e#打扮	3.0	1
梳妆	e#打扮	4.0	1
涂脂抹粉	e#打扮	4.0	1
美容	f#美容	3.0	1
整容	f#美容	3.0	1
收拾	g#整理	1.0	1
理	g#整理	2.0	1
整	g#整理	2.0	1
整理	g#整理	2.0	1
梳理	g#整理	4.0	1
缝	h#缝补绣	2.0	1
缝制	h#缝补绣	3.0	1
补	h#缝补绣	2.0	1
绣	h#缝补绣	2.0	1
晾	i#晒熨	2.0	1
晒	i#晒熨	2.0	1
晾晒	i#晒熨	3.0	1
烫	i#晒熨	3.0	1
熨	i#晒熨	4.0	1
生火	j#加热取暖	1.0	1
点燃	j#加热取暖	2.0	1
燃放	j#加热取暖	2.0	1
热	j#加热取暖	2.0	1
暖	j#加热取暖	2.0	1
暖和	j#加热取暖	2.0	1
加热	j#加热取暖	2.0	1
烫	j#加热取暖	3.0	1
烘烤	j#加热取暖	4.0	1
保暖	j#加热取暖	2.0	1
取暖	j#加热取暖	2.0	1
熄火	k#熄灭	3.0	1
熄灭	k#熄灭	3.0	1
捕食	a#觅食	2.0	1
觅食	a#觅食	3.0	1
烹调	b#烹饪	3.0	1
烹饪	b#烹饪	4.0	1
炒	b#烹饪	1.0	1
烤	b#烹饪	2.0	1
烧	b#烹饪	2.0	1
炸	b#烹饪	2.0	1
蒸	b#烹饪	2.0	1
煮	b#烹饪	2.0	1
熬	b#烹饪	3.0	1
煎	b#烹饪	3.0	1
烙	b#烹饪	4.0	1
卤	b#烹饪	4.0	1
涮	b#烹饪	4.0	1
熏	b#烹饪	4.0	1
吃饭	c#吃饭品尝	1.0	1
就餐	c#吃饭品尝	2.0	1
开饭	c#吃饭品尝	2.0	1
忌口	c#吃饭品尝	3.0	1
尝	c#吃饭品尝	2.0	1
品尝	c#吃饭品尝	2.0	1
品味	c#吃饭品尝	3.0	1
充饥	c#吃饭品尝	3.0	1
喂	d#投喂	2.0	1
喂食	d#投喂	2.0	1
哺乳	d#投喂	4.0	1
请客	e#宴请	1.0	1
宴请	e#宴请	3.0	1
点	e#宴请	1.0	1
敬	e#宴请	2.0	1
回敬	e#宴请	3.0	1
应聘	a#就业	4.0	1
就业	a#就业	3.0	1
工作	b#务工	1.0	1
打工	b#务工	2.0	1
忙活	b#务工	2.0	1
务工	b#务工	3.0	1
做工	b#务工	3.0	1
上班	b#务工	1.0	1
上岗	b#务工	3.0	1
返工	b#务工	3.0	1
劳动	b#务工	1.0	1
劳作	b#务工	3.0	1
突击	b#务工	3.0	1
怠工	b#务工	4.0	1
熬夜	b#务工	3.0	1
开夜车	b#务工	3.0	1
帮工	b#务工	3.0	1
做生意	b#务工	2.0	1
卖艺	b#务工	3.0	1
参军	c#参军	2.0	1
从军	c#参军	3.0	1
投笔从戎	c#参军	4.0	1
做	d#任职	1.0	1
任	d#任职	3.0	1
充当	d#任职	3.0	1
出任	d#任职	3.0	1
担任	d#任职	3.0	1
出山	d#任职	4.0	1
出道	d#任职	4.0	1
任职	d#任职	3.0	1
连任	d#任职	3.0	1
现任	d#任职	3.0	1
兼任	d#任职	3.0	1
兼职	d#任职	3.0	1
辞	e#离职	3.0	1
辞职	e#离职	3.0	1
离职	e#离职	3.0	1
隐退	e#离职	4.0	1
叶落归根	e#离职	4.0	1
解甲归田	e#离职	4.0	1
退休	e#离职	2.0	1
退役	e#离职	3.0	1
失业	f#失业	2.0	1
下岗	f#失业	3.0	1
胡闹	a#惹事	2.0	1
作怪	a#惹事	2.0	1
无理取闹	a#惹事	2.0	1
呼风唤雨	a#惹事	3.0	1
无事生非	a#惹事	3.0	1
无所不为	a#惹事	3.0	1
兴风作浪	a#惹事	3.0	1
造孽	a#惹事	4.0	1
为非作歹	a#惹事	4.0	1
蠢蠢欲动	a#惹事	4.0	1
挑衅	a#惹事	4.0	1
肇事	a#惹事	4.0	1
逞能	b#逞能	4.0	1
自作聪明	b#逞能	2.0	1
意气用事	b#逞能	4.0	1
表现	c#炫耀	2.0	1
出风头	c#炫耀	2.0	1
夸耀	c#炫耀	3.0	1
卖弄	c#炫耀	3.0	1
炫耀	c#炫耀	3.0	1
班门弄斧	c#炫耀	3.0	1
张扬	c#炫耀	4.0	1
招摇过市	c#炫耀	4.0	1
倚老卖老	c#炫耀	4.0	1
虚张声势	c#炫耀	4.0	1
造	d#假冒	2.0	1
编造	d#假冒	3.0	1
无中生有	d#假冒	3.0	1
捏造	d#假冒	4.0	1
空穴来风	d#假冒	4.0	1
冒	d#假冒	3.0	1
假冒	d#假冒	3.0	1
冒充	d#假冒	3.0	1
充数	d#假冒	3.0	1
伪造	d#假冒	3.0	1
造假	d#假冒	3.0	1
冒名顶替	d#假冒	3.0	1
偷工减料	d#假冒	3.0	1
鱼目混珠	d#假冒	3.0	1
粗制滥造	d#假冒	4.0	1
滥竽充数	d#假冒	4.0	1
借口	d#假冒	2.0	1
歪曲	d#假冒	2.0	1
扭曲	d#假冒	3.0	1
添油加醋	d#假冒	3.0	1
污辱	e#玷污	3.0	1
玷污	e#玷污	4.0	1
模糊	f#混淆	2.0	1
混淆	f#混淆	3.0	1
张冠李戴	f#混淆	3.0	1
混为一谈	f#混淆	4.0	1
指鹿为马	f#混淆	4.0	1
反客为主	f#混淆	3.0	1
喧宾夺主	f#混淆	3.0	1
颠倒黑白	f#混淆	3.0	1
颠倒是非	f#混淆	3.0	1
轻重倒置	f#混淆	4.0	1
失误	g#犯错	3.0	1
阴差阳错	g#犯错	3.0	1
将错就错	g#犯错	4.0	1
误	g#犯错	2.0	1
错怪	g#犯错	3.0	1
误解	g#犯错	3.0	1
失职	g#犯错	3.0	1
犯规	g#犯错	2.0	1
违章	g#犯错	2.0	1
违规	g#犯错	3.0	1
明知故犯	g#犯错	3.0	1
放虎归山	h#留后患	3.0	1
养虎为患	h#留后患	4.0	1
冒险	i#冒险	2.0	1
探险	i#冒险	3.0	1
虎口拔牙	i#冒险	3.0	1
孤注一掷	i#冒险	4.0	1
亡羊补牢	a#补救	2.0	1
补救	a#补救	3.0	1
弥补	a#补救	3.0	1
改	a#补救	1.0	1
改正	a#补救	1.0	1
