hsk1_CH	hsk2_CH	hsk3_CH	hsk4_CH	hsk5_CH	hsk6_CH
				装	墓
				状	睦
				撞	挠
				追	泥
				咨	拟
				紫	逆
				综	腻
				阻	酿
				组	捏
				醉	凝
				尊	拧
				遵	扭
					纽
					奴
					怒
					虐
					挪
					诺
					哦
					殴
					呕
					趴
					徘
					攀
					叛
					畔
					庞
					抛
					袍
					泡
					沛
					烹
					蓬
					篷
					膨
					捧
					劈
					屁
					辟
					僻
					譬
					偏
					撇
					贫
					屏
					坡
					颇
					魄
					剖
					扑
					铺
					朴
					谱
					瀑
					曝
					凄
					欺
					漆
					歧
					旗
					乞
					岂
					迄
					泣
					掐
					洽
					恰
					迁
					牵
					潜
					遣
					谴
					嵌
					腔
					侨
					峭
					窍
					翘
					怯
					窃
					锲
					钦
					侵
					禽
					寝
					倾
					擎
					丘
					驱
					渠
					曲
					犬
					券
					瘸
					雀
					壤
					嚷
					饶
					惹
					仁
					韧
					饪
					绒
					溶
					融
					揉
					儒
					乳
					辱
					锐
					若
					撒
					塞
					桑
					丧
					骚
					嫂
					涩
					啬
					啥
					筛
					擅
					裳
					捎
					梢
					哨
					奢
					舌
					涉
					呻
					绅
					审
					渗
					牲
					圣
					盛
					尸
					蚀
					氏
					逝
					誓
					兽
					抒
					疏
					署
					竖
					恕
					墅
					耍
					衰
					涮
					霜
					爽
					瞬
					烁
					斯
					寺
					伺
					饲
					肆
					耸
					讼
					诵
					颂
					艘
					苏
					隧
					唆
					嗦
					塌
					塔
					踏
					蹋
					胎
					汰
					泰
					贪
					摊
					瘫
					坛
					叹
					探
					碳
					唐
					堂
					膛
					倘
					涛
					掏
					滔
					陶
					腾
					剔
					涕
					惕
					添
					田
					舔
					帖
					亭
					艇
					铜
					筒
					凸
					秃
					徒
					吞
					拖
					妥
					椭
					拓
					唾
					挖
					哇
					娃
					瓦
					湾
					丸
					顽
					挽
					惋
					亡
					枉
					妄
					旺
					伪
					纬
					萎
					畏
					蔚
					纹
					紊
					窝
					沃
					乌
					诬
					伍
					侮
					悟
					晤
					昔
					牺
					晰
					稀
					溪
					熄
					膝
					袭
					媳
					徙
					隙
					侠
					峡
					狭
					辖
					霞
					仙
					纤
					掀
					贤
					弦
					衔
					嫌
					宪
					陷
					馅
					镶
					祥
					翔
					巷
					肖
					宵
					潇
					淆
					晓
					啸
					协
					谐
					携
					泄
					泻
					卸
					屑
					械
					薪
					衅
					腥
					刑
					凶
					汹
					朽
					袖
					绣
					锈
					嗅
					吁
					墟
					酗
					蓄
					喧
					暄
					悬
					旋
					炫
					削
					穴
					熏
					巡
					循
					讯
					逊
					鸦
					芽
					崖
					哑
					雅
					讶
					咽
					淹
					岩
					炎
					沿
					衍
					掩
					焰
					央
					殃
					仰
					氧
					侥
					肴
					谣
					遥
					耀
					野
					液
					仪
					蚁
					亦
					异
					抑
					役
					绎
					疫
					毅
					翼
					吟
					隐
					瘾
					婴
					盈
					颖
					佣
					庸
					涌
					踊
					忧
					诱
					渔
					愚
					舆
					予
					宇
					郁
					狱
					浴
					欲
					喻
					御
					裕
					愈
					誉
					冤
					援
					缘
					辕
					岳
					悦
					酝
					蕴
					熨
					砸
					咋
					栽
					宰
					攒
					葬
					遭
					灶
					噪
					躁
					泽
					贼
					赠
					扎
					渣
					眨
					诈
					榨
					宅
					债
					沾
					瞻
					斩
					崭
					彰
					仗
					杖
					帐
					胀
					障
					沼
					兆
					罩
					遮
					辙
					侦
					斟
					枕
					镇
					蒸
					郑
					症
					枝
					肢
					脂
					侄
					殖
					旨
					帜
					挚
					掷
					滞
					稚
					忠
					衷
					肿
					舟
					州
					粥
					宙
					昼
					皱
					珠
					株
					诸
					烛
					拄
					嘱
					瞩
					驻
					柱
					铸
					拽
					砖
					妆
					庄
					壮
					幢
					椎
					坠
					缀
					拙
					捉
					卓
					浊
					酌
					琢
					滋
					宗
					棕
					踪
					纵
					奏
					揍
					祖
					钻
					罪
					铅
					膏
					咳
					脾
					戚
					拾
					袜
					橡
					幽
					碍
					熬
					膀
					彼
					壁
					鞭
					脖
					薄
					布
					裁
					踩
					惭
					糙
					叉
					插
					柴
					偿
					倡
					彻
					闯
					齿
					翅
					宠
					绸
					醋
					措
					呆
					耽
					胆
					档
					滴
					逗
					堆
					兑
					盾
					妨
					氛
					蜂
					讽
					恭
					姑
					乖
					鬼
					锅
					裹
					憾
					毫
					猴
					胡
					壶
					糊
					猾
					惠
					慧
					肌
					寂
					嘉
					嫁
					肩
					捡
					剪
					酱
					浇
					胶
					椒
					狡
					谨
					舅
					桔
					矩
					砍
					颗
					咳
					恳
					愧
					昆
					姥
					厘
					帘
					凌
					铃
					浏
					漏
					逻
					麦
					馒
					矛
					眉
					煤
					霉
					魅
					眠
					描
					寞
					奈
					嫩
					赔
					佩
					喷
					盆
					疲
					脾
					飘
					频
					谦
					瞧
					屈
					娶
					嗓
					蛇
					慎
					绳
					狮
					梳
					鼠
					摔
					甩
					撕
					碎
					滩
					毯
					塘
					烫
					桃
					屉
					涂
					吐
					兔
					袜
					慰
					吻
					夕
					瞎
					厢
					橡
					歇
					斜
					胸
					宴
					痒
					裔
					悠
					屿
					皂
					燥
					摘
					睁
					执
					秩
					骤
					煮
					姿
